mode,fault_id,channel,mean_delta_auroc,mean_delta_auprc,positive_seeds,max_abs_pre_fpr_shift,stable_material
conditional,4,8,-0.0005322549833886914,-0.0003799321867241412,1,0.0002500000000000002,False
conditional,4,9,0.0,0.0,0,0.0,False
conditional,4,10,0.41910146179401997,0.32686032404989335,5,0.0012499999999999994,True
conditional,4,11,-1.019933554808894e-05,-9.506586933638595e-06,3,0.0005000000000000004,False
conditional,5,1,2.8151993355463033e-05,-1.6247724599560697e-05,3,0.0007500000000000007,False
conditional,5,2,-8.439784053155819e-05,-0.00010624173323086073,2,0.0007499999999999989,False
conditional,5,3,1.79277408637879e-05,-4.402321915975005e-05,3,0.0005000000000000004,False
conditional,5,4,-0.0003131644518272636,-0.00047184926397128015,2,0.0014999999999999996,False
conditional,5,5,0.0,0.0,0,0.0,False
conditional,5,6,6.956395348836075e-05,1.1038158431841971e-05,4,0.0002500000000000002,False
conditional,5,7,-3.5049833887024205e-06,3.16292385800665e-05,1,0.0007500000000000007,False
conditional,5,8,-0.0001585423588039814,-6.924191616253239e-05,2,0.0009999999999999992,False
conditional,5,9,0.0,0.0,0,0.0,False
conditional,5,10,-0.00010581810631228316,-2.125441377993642e-05,1,0.0005000000000000004,False
conditional,5,11,0.0005165074750830389,0.0001702742715772976,4,0.0007500000000000007,False
conditional,6,1,-4.9667774086215035e-06,-1.944242670903762e-06,1,0.0005000000000000004,False
conditional,6,2,-5.54401993362319e-06,-1.7455123006770989e-06,1,0.0005000000000000004,False
conditional,6,3,-1.8687707641351636e-06,-8.091392778464268e-07,2,0.0017499999999999998,False
conditional,6,4,-4.476744186050485e-05,-1.5994919704120925e-05,0,0.0012500000000000002,False
conditional,6,5,0.0,0.0,0,0.0,False
conditional,6,6,2.225913621245468e-06,6.723167493838389e-07,4,0.0005000000000000004,False
conditional,6,7,-1.2981727574801205e-05,-3.792280247472135e-06,0,0.0005000000000000004,False
conditional,6,8,-1.0523255813943422e-05,-3.7725003418476176e-06,2,0.0009999999999999992,False
conditional,6,9,0.0,0.0,0,0.0,False
conditional,6,10,-1.4426910299003558e-05,-6.242778726694986e-06,2,0.0005000000000000004,False
conditional,6,11,6.345514950178987e-06,1.9909039278731557e-06,4,0.0009999999999999992,False
conditional,7,1,1.1013289036543305e-05,3.5701121352094132e-06,5,0.0012499999999999994,False
conditional,7,2,5.249169435295187e-06,2.3052282005942006e-06,3,0.0007500000000000007,False
conditional,7,3,-1.9975083056733568e-06,-8.053603001600961e-07,2,0.0007499999999999989,False
conditional,7,4,-2.1179401993376424e-05,-8.062330302971431e-06,1,0.0014999999999999996,False
conditional,7,5,0.0,0.0,0,0.0,False
conditional,7,6,-2.8903654484713217e-06,-1.0348842539364965e-06,1,0.0005000000000000004,False
conditional,7,7,2.699335548173032e-06,2.554961175960102e-07,3,0.0007500000000000007,False
conditional,7,8,1.5033222591442908e-06,1.0692437280912514e-06,3,0.0009999999999999992,False
conditional,7,9,0.0,0.0,0,0.0,False
conditional,7,10,3.8745847176002716e-06,2.141732070537472e-06,3,0.0012499999999999994,False
conditional,7,11,-8.55481727572993e-06,-3.268852861526561e-06,1,0.0005000000000000004,False
conditional,8,1,-0.00011626661129566784,-6.420502143922313e-05,0,0.0015000000000000005,False
conditional,8,2,1.5236710963484335e-05,-5.418143463220559e-07,3,0.0007500000000000007,False
conditional,8,3,3.1686046511936183e-06,7.310727377696225e-07,3,0.0004999999999999996,False
conditional,8,4,0.00017311877076415795,0.00010335026664005653,5,0.0005000000000000004,False
conditional,8,5,0.0,0.0,0,0.0,False
conditional,8,6,2.1096345515392302e-06,3.1378096305045846e-06,2,0.0005000000000000004,False
conditional,8,7,7.147840531569471e-05,3.924926479161872e-05,4,0.0002500000000000002,False
conditional,8,8,0.00011119186046513186,6.248411131084541e-05,4,0.0005000000000000004,False
conditional,8,9,0.0,0.0,0,0.0,False
conditional,8,10,4.10797342193181e-05,2.0108133304441722e-05,3,0.0002500000000000002,False
conditional,8,11,2.6150332226015926e-05,1.3447202915028989e-05,3,0.0005000000000000004,False
conditional,9,1,5.510382059799035e-05,0.0001548161458559072,4,0.0005000000000000004,False
conditional,9,2,-0.0005740199335548368,-0.00011179413846533759,0,0.0007499999999999989,False
conditional,9,3,-5.179401993358201e-05,7.517061645252454e-05,1,0.0010000000000000009,False
conditional,9,4,0.0030799003322258935,0.002673986353127189,5,0.0005000000000000004,False
conditional,9,5,0.0,0.0,0,0.0,False
conditional,9,6,-4.13538205980446e-05,-9.034142175494697e-05,2,0.0002500000000000002,False
conditional,9,7,0.00018261212624584022,0.0001946757236833463,2,0.0012499999999999994,False
conditional,9,8,2.1627906976728894e-05,0.00024094021924889742,3,0.0012499999999999994,False
conditional,9,9,0.0,0.0,0,0.0,False
conditional,9,10,0.00018527823920264642,0.00036357855128967833,2,0.0009999999999999992,False
conditional,9,11,-3.9264950166129074e-05,4.585405768671169e-05,2,0.0007499999999999989,False
conditional,10,1,0.00011587209302326152,5.1202577539122275e-05,3,0.0012500000000000011,False
conditional,10,2,-0.00043362126245845013,-0.0002201799310420194,1,0.0007500000000000007,False
conditional,10,3,4.001661129564571e-05,1.8285940434470405e-05,3,0.0009999999999999992,False
conditional,10,4,0.0006875498338870134,0.0003650809675331601,5,0.0014999999999999996,False
conditional,10,5,0.0,0.0,0,0.0,False
conditional,10,6,0.0004338372093023013,0.0002662418708913927,4,0.0002500000000000002,False
conditional,10,7,-4.625415282395462e-05,-2.781466541676991e-05,2,0.0012499999999999994,False
conditional,10,8,0.0002229526578072516,0.00014702816486809046,5,0.0005000000000000004,False
conditional,10,9,0.0,0.0,0,0.0,False
conditional,10,10,0.00012782807308973077,8.509098782949476e-05,4,0.0005000000000000004,False
conditional,10,11,0.00013582225913626455,8.029439068653055e-05,4,0.0014999999999999996,False
conditional,11,1,0.0002483928571429095,0.00014026406086025122,4,0.0005000000000000004,False
conditional,11,2,-0.00015247508305644698,-8.160014255913506e-05,1,0.0002500000000000002,False
conditional,11,3,1.5606312292382186e-05,1.0947343772960138e-05,3,0.0002500000000000002,False
conditional,11,4,-9.101328903649009e-05,-5.953526794897357e-05,2,0.0014999999999999996,False
conditional,11,5,0.0,0.0,0,0.0,False
conditional,11,6,-0.00022332225913617164,-0.00012538619919888472,1,0.0002500000000000002,False
conditional,11,7,-0.00028317691029895454,-0.0001580031044606578,1,0.0009999999999999992,False
conditional,11,8,-1.3160299003267539e-05,-4.1953631586544303e-07,3,0.0010000000000000009,False
conditional,11,9,0.0,0.0,0,0.0,False
conditional,11,10,0.023862034883721007,0.013306904396387442,5,0.0005000000000000004,True
conditional,11,11,-7.539867109631614e-05,-4.26343981116517e-05,2,0.0002500000000000002,False
conditional,12,1,0.0001545390365448318,5.9402089151028294e-05,4,0.0005000000000000004,False
conditional,12,2,-0.0005399543189368971,-0.00037794981923469086,0,0.0014999999999999996,False
conditional,12,3,-0.0001200415282392342,-0.00010358852681007225,1,0.0005000000000000004,False
conditional,12,4,0.0013491112956810491,0.0010618976691412429,5,0.0014999999999999996,False
conditional,12,5,0.0,0.0,0,0.0,False
conditional,12,6,-0.00018460963455151357,-0.00011398161091311643,0,0.0002500000000000002,False
conditional,12,7,-2.28114617940367e-05,-1.1058579861500384e-05,2,0.0014999999999999996,False
conditional,12,8,-0.00012278654485051722,-6.10288369156331e-05,2,0.0012500000000000011,False
conditional,12,9,0.0,0.0,0,0.0,False
conditional,12,10,0.0002488122923588021,0.0001917581499733867,4,0.0005000000000000004,False
conditional,12,11,5.5884551494989056e-05,-5.032520999015411e-05,2,0.0007500000000000007,False
conditional,13,1,-0.00011247093023256661,-5.702041131485647e-05,0,0.0005000000000000004,False
conditional,13,2,-1.8189368770737957e-06,-2.847434832031759e-06,2,0.0007499999999999989,False
conditional,13,3,2.8143687707582465e-05,9.423573590505718e-06,5,0.0007499999999999989,False
conditional,13,4,4.462209302320552e-05,4.9172102078687276e-05,3,0.0007499999999999989,False
conditional,13,5,0.0,0.0,0,0.0,False
conditional,13,6,-2.906976744432299e-07,-1.609703794924755e-07,2,0.0002500000000000002,False
conditional,13,7,-3.406561461796187e-05,-1.1573663954367319e-05,0,0.0005000000000000004,False
conditional,13,8,-2.6877076411935265e-05,-9.420866682630092e-06,2,0.0007499999999999989,False
conditional,13,9,0.0,0.0,0,0.0,False
conditional,13,10,4.624169435212267e-05,2.3286754029205882e-05,3,0.0009999999999999992,False
conditional,13,11,-2.9007475083075997e-05,-9.625116811950995e-06,1,0.0005000000000000004,False
conditional,14,1,1.0132890365466274e-05,5.0016393990048865e-06,3,0.0002500000000000002,False
conditional,14,2,1.248338870425414e-05,7.086943731482442e-06,3,0.0007499999999999989,False
conditional,14,3,1.5622923588010094e-05,6.303857883138697e-06,5,0.0007500000000000007,False
conditional,14,4,-3.739202657806473e-05,-8.29264514301542e-06,1,0.0012499999999999994,False
conditional,14,5,0.0,0.0,0,0.0,False
conditional,14,6,-1.23463455149464e-05,-8.703237717022639e-06,3,0.0005000000000000004,False
conditional,14,7,1.8073089700965105e-05,1.136162376995653e-05,3,0.0002500000000000002,False
conditional,14,8,-4.933554817254659e-06,-4.90593124502503e-07,2,0.0005000000000000004,False
conditional,14,9,0.0,0.0,0,0.0,False
conditional,14,10,0.00047610465116272317,0.0002982676291810593,5,0.0005000000000000004,False
conditional,14,11,2.815614617945883e-06,9.808988424842013e-07,3,0.0005000000000000004,False
conditional,15,1,3.2562292358795374e-05,-7.816289641495721e-05,4,0.0005000000000000004,False
conditional,15,2,-0.00019605481727575925,-0.0001775051594446575,0,0.0005000000000000004,False
conditional,15,3,-0.00015252906976745973,0.00019813659518759242,1,0.0007500000000000007,False
conditional,15,4,0.0007350415282391554,0.0005150324467844358,5,0.0012499999999999994,False
conditional,15,5,0.0,0.0,0,0.0,False
conditional,15,6,2.7296511627916686e-05,6.221552753304938e-05,2,0.0007500000000000007,False
conditional,15,7,-6.860880398671388e-05,-0.00010892312904304813,1,0.0005000000000000004,False
conditional,15,8,0.00010117524916941623,-8.772963516281428e-05,2,0.0009999999999999992,False
conditional,15,9,0.0,0.0,0,0.0,False
conditional,15,10,-6.0361295681077286e-05,-2.8149632719109972e-05,1,0.0005000000000000004,False
conditional,15,11,-0.00011892441860466008,-1.3988247072371784e-05,3,0.0007500000000000007,False
conditional,16,1,-0.00018890365448507307,-8.190486971775268e-05,0,0.0005000000000000004,False
conditional,16,2,1.98297342192566e-05,-0.00016010046548902145,3,0.0005000000000000004,False
conditional,16,3,-0.00016694352159469795,-0.0001608792118556801,0,0.0007499999999999989,False
conditional,16,4,0.000544514119601347,0.0009068792540745108,5,0.0012499999999999994,False
conditional,16,5,0.0,0.0,0,0.0,False
conditional,16,6,6.803986710963716e-05,-2.6260708676972834e-05,5,0.0002500000000000002,False
conditional,16,7,-3.491694352160124e-05,-0.0001215809345671781,2,0.0007499999999999989,False
conditional,16,8,-0.00012381644518275615,-0.0002457995438263083,1,0.0009999999999999992,False
conditional,16,9,0.0,0.0,0,0.0,False
conditional,16,10,-5.0963455149477535e-05,-5.2653886526488056e-05,2,0.0007499999999999989,False
conditional,16,11,0.00027044850498338937,-2.551990047949815e-07,5,0.0010000000000000009,False
conditional,17,1,-1.3633720930217308e-05,-1.8106470819789777e-06,1,0.0002500000000000002,False
conditional,17,2,6.0436046511647136e-05,2.2280056290391314e-05,4,0.0007499999999999989,False
conditional,17,3,-7.22591362101177e-07,1.2299679905236616e-06,1,0.0005000000000000004,False
conditional,17,4,-5.6208471760821334e-05,-4.305621928275549e-05,3,0.0007500000000000007,False
conditional,17,5,0.0,0.0,0,0.0,False
conditional,17,6,-4.268272425242969e-05,-2.7329844062684572e-05,2,0.0002500000000000002,False
conditional,17,7,-0.00011861710963456673,-6.27586196242147e-05,1,0.0002500000000000002,False
conditional,17,8,-2.258720930232716e-05,-1.8652079956615886e-05,2,0.0007499999999999989,False
conditional,17,9,0.0,0.0,0,0.0,False
conditional,17,10,-3.555647840529641e-05,-1.7984958760486336e-05,2,0.0005000000000000004,False
conditional,17,11,-5.779485049830502e-05,-1.4183651242305472e-05,1,0.0004999999999999987,False
conditional,18,1,9.137458471759618e-05,7.562634888227393e-05,3,0.0005000000000000004,False
conditional,18,2,-4.163621262458506e-05,-2.114245782238733e-05,3,0.0012499999999999994,False
conditional,18,3,7.610465116276721e-05,6.358570629738658e-05,3,0.0004999999999999987,False
conditional,18,4,0.0007118521594684513,0.00039699502058079263,5,0.0017499999999999998,False
conditional,18,5,0.0,0.0,0,0.0,False
conditional,18,6,-0.0010759759136212744,-0.0006462312358242128,0,0.0002500000000000002,False
conditional,18,7,-0.0004111669435215903,-0.00023747924377248708,1,0.0007500000000000007,False
conditional,18,8,0.00016909053156146658,0.000125348741166742,3,0.0007499999999999989,False
conditional,18,9,0.0,0.0,0,0.0,False
conditional,18,10,-5.616694352159612e-05,-2.194871573928392e-05,2,0.0004999999999999987,False
conditional,18,11,-7.436046511626327e-05,-5.743705124714449e-05,3,0.0017499999999999998,False
conditional,19,1,-0.0005072217607972717,-0.0002816312314712466,0,0.0010000000000000009,False
conditional,19,2,0.0006157475083056862,0.00041939831244290903,2,0.0007500000000000007,False
conditional,19,3,1.1258305647832146e-05,-4.450297019853444e-06,3,0.0002500000000000002,False
conditional,19,4,-0.004466785714285692,-0.002674927338810984,0,0.0012499999999999994,False
conditional,19,5,0.0,0.0,0,0.0,False
conditional,19,6,-1.9011627907050686e-05,-1.2814693929730226e-05,2,0.0,False
conditional,19,7,0.014326395348837239,0.008366209415068382,5,0.0009999999999999992,False
conditional,19,8,0.028946279069767433,0.017636186622968376,5,0.0007499999999999989,True
conditional,19,9,0.0,0.0,0,0.0,False
conditional,19,10,-0.0001639950166113069,-7.10329933417908e-05,0,0.0005000000000000004,False
conditional,19,11,1.122093023253612e-05,9.123939943633808e-06,1,0.0007500000000000007,False
conditional,20,1,1.8235049833914553e-05,3.291546682770985e-07,3,0.0005000000000000004,False
conditional,20,2,-2.188538205976087e-05,-4.877893711729975e-06,1,0.0012500000000000011,False
conditional,20,3,1.0016611295737832e-05,1.5670719129001752e-07,4,0.0005000000000000004,False
conditional,20,4,0.00013701411960140853,0.00010056708288630478,5,0.0019999999999999983,False
conditional,20,5,0.0,0.0,0,0.0,False
conditional,20,6,-0.00019400332225907312,-0.00010044659956824909,0,0.0005000000000000004,False
conditional,20,7,2.616694352162163e-05,4.2361772703802815e-05,4,0.0002500000000000002,False
conditional,20,8,1.1034053156167012e-05,1.494559695172093e-05,4,0.0005000000000000004,False
conditional,20,9,0.0,0.0,0,0.0,False
conditional,20,10,-2.098837209296711e-05,9.646587767253577e-07,2,0.0010000000000000009,False
conditional,20,11,-2.092607973418481e-05,-9.948807941695391e-07,1,0.0012499999999999994,False
conditional,21,1,0.0002860838870432092,2.638018214184967e-06,4,0.0004999999999999987,False
conditional,21,2,4.71345514952981e-06,2.1393549433024183e-05,2,0.0007499999999999989,False
conditional,21,3,5.276162790697203e-05,-0.000273252062376006,3,0.0005000000000000004,False
conditional,21,4,-0.0006526868770764027,-0.0005348799734440579,0,0.0010000000000000009,False
conditional,21,5,0.0,0.0,0,0.0,False
conditional,21,6,7.249169435217251e-05,3.860877292523046e-05,2,0.0005000000000000004,False
conditional,21,7,-6.24916943521514e-05,-0.00011688917878174276,3,0.0005000000000000004,False
conditional,21,8,0.00019294435215948534,-2.3468666677750605e-05,4,0.0007499999999999989,False
conditional,21,9,0.0,0.0,0,0.0,False
conditional,21,10,0.00018463455149502205,4.9948509805108895e-06,2,0.0007499999999999989,False
conditional,21,11,0.00046632890365451153,0.0003220810935271601,4,0.0005000000000000004,False
conditional,22,1,-0.00019621677740861988,-0.0002857854809480864,1,0.0007499999999999989,False
conditional,22,2,-0.0005305315614617667,-0.00018712231434165895,0,0.0014999999999999996,False
conditional,22,3,-0.00013416943521593616,-7.945241541675862e-05,1,0.0007499999999999989,False
conditional,22,4,0.003780548172757481,0.003312905287209533,5,0.0012499999999999994,False
conditional,22,5,0.0,0.0,0,0.0,False
conditional,22,6,-0.00014786129568105099,-0.00017603786389952525,0,0.0005000000000000004,False
conditional,22,7,2.7981727574744043e-05,9.314318597983818e-05,3,0.0007499999999999989,False
conditional,22,8,-0.00022277408637871865,-5.37096086104194e-05,1,0.0005000000000000004,False
conditional,22,9,0.0,0.0,0,0.0,False
conditional,22,10,0.0006074501661129661,0.0006510152358285337,5,0.0007499999999999989,False
conditional,22,11,2.5573089700992037e-05,3.960838101773057e-05,4,0.0012500000000000011,False
conditional,23,1,-9.614202657806103e-05,-5.638945938719608e-05,1,0.0002500000000000002,False
conditional,23,2,0.00025260382059799635,0.0006022960418619716,5,0.0005000000000000004,False
conditional,23,3,0.026542882059800644,0.022064181852411213,5,0.0002500000000000002,True
conditional,23,4,-0.038520452657807305,-0.03745749463094512,0,0.0017499999999999998,False
conditional,23,5,0.0,0.0,0,0.0,False
conditional,23,6,-0.00017559385382059922,-7.510128773151603e-05,0,0.0004999999999999987,False
conditional,23,7,-0.00016471760797340807,-0.0001433308092594343,1,0.0002500000000000002,False
conditional,23,8,-9.178571428569704e-05,-7.831238851832011e-05,1,0.0002500000000000002,False
conditional,23,9,0.0,0.0,0,0.0,False
conditional,23,10,-0.00012713455149502285,-0.00023966121137908303,2,0.0012499999999999994,False
conditional,23,11,-7.617524916943008e-05,8.091619099761526e-05,3,0.0005000000000000004,False
conditional,24,1,0.0027022259136212368,0.0015053293371335209,5,0.0007499999999999989,False
conditional,24,2,0.0003042607973421818,0.00017268345876675362,3,0.0009999999999999992,False
conditional,24,3,7.04194352158849e-05,3.8538207971505756e-05,5,0.0007499999999999989,False
conditional,24,4,0.00044456810631228195,0.0002282123747161746,4,0.0014999999999999996,False
conditional,24,5,0.0,0.0,0,0.0,False
conditional,24,6,-4.6403654485005494e-05,-2.7685615049644065e-05,1,0.0002500000000000002,False
conditional,24,7,0.00016666528239210886,0.00011212350421254679,4,0.0007500000000000007,False
conditional,24,8,3.058970099674152e-05,9.232765416933298e-06,3,0.0005000000000000004,False
conditional,24,9,0.0,0.0,0,0.0,False
conditional,24,10,-2.7130398671104673e-05,-1.4880103641257136e-05,2,0.0007499999999999989,False
conditional,24,11,2.7898671096338036e-05,2.079132421393126e-05,3,0.0014999999999999996,False
conditional,25,1,0.0064390656146178895,0.004311098390732293,5,0.0005000000000000004,False
conditional,25,2,0.021710460963455126,0.014165945354735188,5,0.0007500000000000007,True
conditional,25,3,0.0002625789036544646,0.00018442658063617668,5,0.0010000000000000009,False
conditional,25,4,0.002366034053156141,0.0015641935633608829,5,0.0017499999999999998,False
conditional,25,5,0.0,0.0,0,0.0,False
conditional,25,6,-0.00025720930232562276,-0.00016513000597642157,1,0.0002500000000000002,False
conditional,25,7,0.000672122093023253,0.0004372556189226939,4,0.0005000000000000004,False
conditional,25,8,0.0006500207641195743,0.0004407549830691915,4,0.0007500000000000007,False
conditional,25,9,0.0,0.0,0,0.0,False
conditional,25,10,0.0003899044850498079,0.00025513064011404294,4,0.0007500000000000007,False
conditional,25,11,0.00013298588039862836,7.816070808683851e-05,3,0.0010000000000000009,False
conditional,26,1,-0.0003257392026577488,-0.00021173022580573965,1,0.0005000000000000004,False
conditional,26,2,0.0003015780730897255,0.00018916712591008356,5,0.0007500000000000007,False
conditional,26,3,6.846345514945895e-05,4.5502100933458856e-05,4,0.0005000000000000004,False
conditional,26,4,0.08395022840531563,0.0533446405567221,5,0.0007500000000000007,True
conditional,26,5,0.0,0.0,0,0.0,False
conditional,26,6,5.110465116273666e-05,2.3143417379345443e-05,4,0.0005000000000000004,False
conditional,26,7,0.0004135631229235992,0.00022709304811019404,5,0.0010000000000000009,False
conditional,26,8,-0.00033048172757474956,-0.00018409515265147559,1,0.0009999999999999992,False
conditional,26,9,0.0,0.0,0,0.0,False
conditional,26,10,0.00026473837209302077,0.00015430234579782987,3,0.0007500000000000007,False
conditional,26,11,1.998754152821025e-05,1.1545416603642167e-05,3,0.0007500000000000007,False
conditional,27,1,0.0008460132890365513,0.0005613490323255865,5,0.0007500000000000007,False
conditional,27,2,-0.0008903571428571455,-0.0005971122549639051,0,0.0010000000000000009,False
conditional,27,3,-8.902823920267088e-05,-8.638318294758029e-05,1,0.0005000000000000004,False
conditional,27,4,0.00011347591362123043,0.00013073421450222612,3,0.0017499999999999998,False
conditional,27,5,0.0,0.0,0,0.0,False
conditional,27,6,-0.0011665863787375663,-0.0008491496544748012,0,0.0005000000000000004,False
conditional,27,7,-0.0009365365448505081,-0.0006324588753017002,0,0.0010000000000000009,False
conditional,27,8,3.546511627907645e-05,-1.727223408609646e-06,3,0.0010000000000000009,False
conditional,27,9,0.0,0.0,0,0.0,False
conditional,27,10,0.03336349252491695,0.021528108741098163,5,0.0005000000000000004,True
conditional,27,11,-3.170681063124903e-05,-4.171767465621645e-05,2,0.0004999999999999996,False
conditional,28,1,8.567691029901515e-05,3.813095152536139e-05,4,0.0010000000000000009,False
conditional,28,2,-0.00020585963455146405,-0.00021710639764382922,0,0.0007499999999999989,False
conditional,28,3,9.093853820600906e-05,8.477000659137257e-05,3,0.0010000000000000009,False
conditional,28,4,0.002273318106312305,0.002191143956754349,5,0.0012500000000000011,False
conditional,28,5,0.0,0.0,0,0.0,False
conditional,28,6,0.0001098089700996896,9.182817232569195e-05,5,0.0002500000000000002,False
conditional,28,7,-0.00016922757475081873,-0.00013529328552503995,1,0.0007500000000000007,False
conditional,28,8,-0.00018651162790697117,-0.00013956041815732512,2,0.0007499999999999989,False
conditional,28,9,0.0,0.0,0,0.0,False
conditional,28,10,-0.00013785714285714513,-9.65843439302505e-05,3,0.0009999999999999992,False
conditional,28,11,-5.833887043187325e-05,0.00010825861048939789,2,0.0009999999999999992,False
zero,1,1,0.00017901578073098445,9.320964493391149e-05,5,0.0017499999999999998,False
zero,1,2,0.00038156976744188056,0.00018126420292978728,5,0.004,False
zero,1,3,4.173588039873e-05,1.8142493152550897e-05,5,0.0022500000000000003,False
zero,1,4,0.00016729235880399428,7.800032997351547e-05,5,0.0017499999999999998,False
zero,1,5,0.0,0.0,0,0.0,False
zero,1,6,4.332225913623588e-05,3.1861687294698624e-05,5,0.0022500000000000003,False
zero,1,7,1.432308970104046e-05,8.112155733841497e-06,4,0.0012500000000000011,False
zero,1,8,-5.838870431928989e-06,-2.2864232642083595e-06,4,0.0012499999999999994,False
zero,1,9,0.0,0.0,0,0.0,False
zero,1,10,-3.3139534882931088e-06,4.4538609171862477e-07,3,0.0014999999999999996,False
zero,1,11,-1.8014950166089784e-05,-7.876622909197551e-06,1,0.0012499999999999994,False
zero,2,1,0.000680884551495109,0.0002908759880811074,5,0.0025000000000000005,False
zero,2,2,0.0006182765780731403,0.0003056783197840085,5,0.0012500000000000011,False
zero,2,3,0.00027294850498349454,0.00013942669481139535,5,0.0012500000000000011,False
zero,2,4,0.0005026744186047427,0.00022260270356644352,5,0.0012500000000000011,False
zero,2,5,0.0,0.0,0,0.0,False
zero,2,6,-2.0215946843804566e-05,-2.349701164474638e-05,3,0.0014999999999999996,False
zero,2,7,0.00014928571428574067,7.589369427216664e-05,5,0.0007499999999999989,False
zero,2,8,3.527408637882257e-05,1.8451426160415174e-05,4,0.0005000000000000004,False
zero,2,9,0.0,0.0,0,0.0,False
zero,2,10,1.7230066445295124e-05,7.6269649897042765e-06,3,0.0004999999999999987,False
zero,2,11,-1.3289036544805733e-05,-5.8985064388616945e-06,2,0.0009999999999999992,False
zero,3,1,0.007314833887043149,0.008606834578837597,5,0.0032499999999999994,False
zero,3,2,0.0036324294019933314,0.002520174871040659,5,0.0012500000000000011,False
zero,3,3,0.002922105481727555,0.002784244699742322,5,0.0009999999999999992,False
zero,3,4,0.003895224252491669,0.0035250510162202708,5,0.0014999999999999996,False
zero,3,5,0.0,0.0,0,0.0,False
zero,3,6,0.0014689285714285516,-0.00019665331135150234,5,0.0022499999999999994,False
zero,3,7,-0.00023784468438539096,0.00027738365579912385,1,0.0010000000000000009,False
zero,3,8,-0.00014372508305648957,-0.0002529073011577454,2,0.0005000000000000004,False
zero,3,9,0.0,0.0,0,0.0,False
zero,3,10,0.0005996220930232221,0.0007057241179356355,4,0.0007499999999999989,False
zero,3,11,-3.726744186047792e-05,0.00018011583055350667,2,0.0007500000000000007,False
zero,4,1,0.012835240863787423,0.009994118295961285,5,0.0027500000000000007,False
zero,4,2,0.01090123338870439,0.0091514129271018,5,0.0009999999999999992,False
